measure,dependent,type,coef,std,z,p
length,correct,univariate,-0.02822229948541966,0.003933214080666344,-7.175378432652816,7.210744674428196e-13
length,time,univariate,3.674271531452734,0.04887907039326017,75.17065078961427,0.0
cyclomatic,correct,univariate,-0.09222438402201266,0.013414359396575436,-6.875049437363122,6.196836482469169e-12
cyclomatic,correct,control_length,-0.04088573277933897,0.02567239075848094,-1.5925954526004658,0.11125097433898362
cyclomatic,time,univariate,11.439093740653348,0.14297186939912251,80.00940177063639,0.0
cyclomatic,time,control_length,6.625070341686427,0.3410307322664915,19.426607970654683,3.843099746916217e-72
quantity,correct,univariate,-0.2352682205317721,0.03912603853272589,-6.013085642058766,1.8202480858138707e-09
quantity,correct,control_length,0.12265719833801647,0.07701717227544308,1.5925954526004549,0.11125097433898604
quantity,time,univariate,34.50110547215261,1.1591868307695712,29.763196541188886,5.54590254444914e-142
quantity,time,control_length,-19.87521102505924,1.0230921967994715,-19.4266079706547,3.843099746915341e-72
potential,correct,univariate,-0.062153120379446244,0.0075373727839824255,-8.245992623786242,1.6379477510569395e-16
potential,correct,control_length,-0.07192184594823027,0.01933816329060188,-3.7191663379522417,0.00019988139544075006
potential,time,univariate,7.762468101081713,0.15405034573824233,50.389163775532595,1.2478548316738542e-283
potential,time,control_length,-0.27979447235909793,0.28850821218855366,-0.9697972554633527,0.33236899875641024
diversity,correct,univariate,-0.3686186939362352,0.05670109723412228,-6.50108572703957,7.974237050032614e-11
diversity,correct,control_length,-0.21076116981785373,0.06213508432386683,-3.39198332329128,0.0006938866337720828
diversity,time,univariate,47.70710116808649,2.6324315210416076,18.122827046687853,3.751189623713889e-64
diversity,time,control_length,18.039868012598205,1.155220250589391,15.615955488483086,1.2471050277099773e-49
level,correct,univariate,3.3937739450533875,0.5354061762132746,6.338690317426421,2.3172647416475582e-10
level,correct,control_length,-1.1305058917286364,1.028006042425573,-1.0997074385489172,0.2714596127023078
level,time,univariate,-633.9157047811107,14.725876020373791,-43.047741533615046,6.170112124392743e-235
level,time,control_length,-5.389437045532507,19.502326988423405,-0.27634840953757367,0.7823343993256954
